Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Colômbia,Termobarranquilla (Tebsa),Gás natural,,"Soledad, Atlántico",Ativa,911,1980,Generadora y Comercializadora de Energía del Caribe S.A. (Gecelca),Misto,Barranquilla,,,https://www.andeg.org/empresas-asociadas/termobarranquilla/,10.9437101,-74.7678502,911,Gas
Colômbia,Termosierra,Gás natural,,"Puerto Nare, Antioquia",Ativa,460,1998,Empresas Públicas de Medellín (EPM),Estatal,Medellín,,,,6.2360063,-74.5633551,460,Gas
Colômbia,Termoflores,Gás natural,Diesel,"Barranquilla, Atlántico",Ativa,610,"1993 (Flores I) e
 2011 (Flores IV)",Prime Energía Colombia S.A.S. y Prime Colombia Barranquilla S.A.S.,Privado,Barranquilla,"Subsidiárias de EnfraGen LLC, filial de Glenfarne Group LLC de Estados Unidos.","La compraron a Celsia, parte del Grupo Argos, en 2019.",https://www.andeg.org/empresas-asociadas/prime-energia/,11.025256,-74.8138094,610,Gas
Colômbia,Termoemcali,Gás natural,Diesel,"Palmira, Valle del Cauca",Ativa,229,1999,,Privado,Cali,"TE Holdings, a través de Maguro Contour Global y Fondo de Infraestructura Colombia Ashmore",Le compraron a Emcali en 2011.,https://www.andeg.org/empresas-asociadas/termoemcali/,3.5584034,-76.502449,229,Gas
Colômbia,Termovalle,Gás natural,Diesel,"Palmira, Valle del Cauca",Ativa,241,1998,Termovalle S.C.A.,Privado,,,,https://www.andeg.org/empresas-asociadas/termovalle/,3.5649758,-76.4554758,241,Gas
Colômbia,Termocartagena (Tecsa),Gás natural,Diesel,"Cartagena, Bolívar",Ativa,187,"1978 (Cartagena 1, 2 & 3)","Emgesa, parte del Grupo Enel",Privado,,,,,10.3555714,-75.5127376,187,Gas
Colômbia,Meriléctrica,Gás natural,,"Barrancabermeja, Santander",Ativa,169,1998,"Celsia, parte del Grupo Argos",Privado,,,,,7.054488,-73.8232558,169,Gas
Colômbia,Termopaipa,Carvão,,"Paipa, Boyacá",Ativa,178,"1963 (Paipa 1), 1975 (Paipa 2) y 1982 (Paipa 3)",Gestión Energética S.A. (Gensa),Estatal,Manizales,"Empresa de serviços públicos mista, cujo principal acionista é o Ministerio da Fazenda (90,93%)",,https://www.andeg.org/empresas-asociadas/gensa/,5.7681018,-73.1490648,178,Carbón
Colômbia,TermoGuajira,Carvão,Gás natural,"Dibulla, La Guajira",Ativa,296,1983 (Guajira 1) & 1987 (Guajira 2),Generadora y Comercializadora de Energía del Caribe S.A. (Gecelca),Misto,Barranquilla,,,https://www.andeg.org/empresas-asociadas/gecelca/,11.2618449,-73.4176666,296,Carbón
Colômbia,Termobarranca,Gás natural,,"Barrancabermeja, Santander",Ativa,167,1998,"Celsia, parte del Grupo Argos",Privado,Medellín,,,https://www.andeg.org/empresas-asociadas/celsia/,7.0901673,-73.8907863,167,Gas
Colômbia,Central Martín del Corral (Termozipa),Carvão,,"Tocancipá, Cundinamarca",Ativa,225,"1964 (Zipa 2), 1972 (Zipa 3), 1981 (Zipa 4) & 1985 (Zipa 5)","Emgesa, parte del Grupo Enel",Privado,,,,,4.9705613,-73.9493596,225,Carbón
Colômbia,Termogualanday,Gás natural,,"Coello, Tolima",Fechada,53,,,,,,Fue propiedad de Ecopetrol.,,4.2862601,-74.9153849,53,Gas
Colômbia,Termodorada,Gás natural,Diesel,"La Dorada, Caldas",Ativa,51,1997,Central Hidroeléctrica de Caldas (Chec),Estatal,,"Grupo EPM (Empresas Públicas de Medellín), Inficaldas, Infimanizales e outros sócios menores",,https://www.chec.com.co/gobierno-corporativo/estructura-de-gobierno/propiedad,5.4451591,-74.6768061,51,Gas
Colômbia,Termocandelaria,Gás natural,Diesel,"Cartagena, Bolívar",Ativa,314,2000 (Candelaria 1 & Candelaria 2),Termocandelaria S.C.A.,Privado,,"Contour Global Latam S.A., Emcali, Fondo de Infraestructura Colombia Ashmore, Inversiones Inca S.A., Sinfin Ltda, Vince Business Corp, y SCL Energía Activa (Sclea)",https://www.eltiempo.com/archivo/documento/CMS-16418049,https://www.andeg.org/empresas-asociadas/termocandelaria/,10.3586099,-75.4884259,314,Gas
Colômbia,Termomorro,Gás natural,,"Yopal, Casanare",Ativa,58,2017,Termo Mechero Morro SAS,Privado,Bogotá,Mechero Energy dos EUA,,https://www.andeg.org/empresas-asociadas/termomechero/,5.4595787,-72.4519038,58,Gas
Colômbia,Termotasajero,Carvão,,"San Cayetano, Norte de Santander",Ativa,151,1984,Termotasajero S.A.,Privado,Bogotá,"Inversiones Termotasajero S.A, integrada pelos fundos de pensão Protección, Porvenir, Citi-Colfondos y Skandia, bolsa Correval e investimentos internacionais",,https://www.andeg.org/empresas-asociadas/termotasajero/,7.8478407,-72.6348944,151,Carbón
Colômbia,Termonorte,Gás natural,Diesel,"Santa Marta, Magdalena",Ativa,93,2018,Axia Energía,Privado,Barranquilla,,,https://www.andeg.org/empresas-asociadas/axia-energy/,11.2595342,-74.1055506,93,Gas
Colômbia,Termoyopal,Gás natural,,"Yopal, Casanare",Ativa,50,2004,Termoyopal Generación 2 SAS,Privado,Bogotá,,,https://www.termoyopal.com.co/historia/,5.4438074,-72.458545,50,Gas
Colômbia,Termocentro,Gás natural,,"Cimitarra, Santander",Ativa,278,1997,Isagen,Privado,,,,,6.4436785,-74.3840759,278,Gas
Colômbia,Gecelca 3,Carvão,,"Puerto Libertador, Córdoba",Ativa,437,2015 (Gecelca 3) & 2018 (Gecelca 3.2),Generadora y Comercializadora de Energía del Caribe S.A. (Gecelca),Misto,Barranquilla,,,https://www.andeg.org/empresas-asociadas/gecelca/,7.9920905,-75.5964722,437,Carbón
Colômbia,Proeléctrica,Gás natural,,"Cartagena, Bolívar",Ativa,90,1993 (Proeléctrica 1 & Proeléctrica 2),Proeléctrica,Privado,Bogotá,,,https://www.andeg.org/empresas-asociadas/proelectrica/,10.3503105,-75.4964881,90,Gas
Colômbia,Termosuria,Gás natural,,"Villavicencio, Meta",Ativa,40,,Ecopetrol,Misto,,,,,4.0409877,-73.442316,40,
Colômbia,Termocoa,Gás natural,,"Villavicencio, Meta",Fechada,,,,,,,Fue propiedad de Ecopetrol.,,4.0787796,-73.6892895,,Gas
Colômbia,Termoyumbo,Carvão,,"Yumbo, Valle del Cauca",Fechada,57,,,Privado,,,Fue propiedad de Ecopetrol. En su lugar se construyó el proyecto Celsia Solar Yumbo de energía solar.,,3.5453363,-76.5300462,57,Carbón
Colômbia,Termoeléctrica La Luna,Carvão,,"El Paso, Cesar",Planejada,750,,"Celsia, parte del Grupo Argos",Privado,,,,,9.6614359,-73.7508079,750,Carbón
Colômbia,Nencol 5,Gás natural,Diesel,"Santa Marta, Magdalena",Planejada,1140,,Nodo Energético del Norte de Colombia S.A.,Privado,,,,,11.2595342,-74.1055506,1140,Gas
Colômbia,Termogaira,Gás natural,Diesel,"Santa Marta, Magdalena",Planejada,93,,Zeuzcorp USA,Privado,,,,,11.2595342,-74.1055506,93,Gas
Colômbia,Termocosta,Gás natural,Diesel,"Santa Marta, Magdalena",Planejada,93,,Termocosta S.A.,Privado,,,,https://www.corpamag.gov.co/archivos/resoluciones/Resol_0300-2019.pdf,11.2595342,-74.1055506,93,Gas
